celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,exit_week,judge_total_score,judge_count,judge_std,week,max_week,is_eliminated,n_eliminated
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,6.0,20.0,3,0.5773502691896258,1,11,0,0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,0.0,13.0,3,0.5773502691896258,1,11,0,0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,3.0,18.0,3,1.0,1,11,0,0
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,4.0,20.0,3,0.5773502691896258,1,11,0,0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,5.0,20.0,3,0.5773502691896258,1,11,0,0
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,2.0,18.0,3,0.0,1,11,0,0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,2.0,23.0,3,0.5773502691896258,1,11,0,1
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5.0,20.0,3,0.5773502691896258,1,11,0,1
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6.0,18.0,3,1.0,1,11,0,1
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7.0,19.0,3,1.1547005383792517,1,11,0,1
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,22.0,3,1.1547005383792517,1,11,0,1
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,8.0,21.0,3,0.0,1,11,0,1
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,3.0,23.0,3,0.5773502691896258,1,11,0,1
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,12.0,3,0.0,1,11,0,1
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,0.0,24.0,3,0.0,1,11,0,1
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,1.0,13.0,3,0.5773502691896258,1,11,1,1
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,3.0,17.0,3,0.5773502691896258,1,11,0,1
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,4.0,22.0,3,1.1547005383792517,1,11,0,1
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8.0,19.0,3,0.5773502691896258,1,11,0,1
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,9.0,21.0,3,0.0,1,11,0,1
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,10.0,26.0,3,0.5773502691896257,1,11,0,1
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,0.0,24.0,3,0.0,1,11,0,1
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,2.0,18.0,3,1.0,1,11,0,1
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,5.0,22.0,3,0.5773502691896258,1,11,0,1
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,15.0,3,0.0,1,11,0,1
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,7.0,16.0,3,0.5773502691896258,1,11,0,1
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,1.0,12.0,3,1.0,1,11,1,1
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,7.0,17.0,3,0.5773502691896258,1,11,0,0
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,9.0,21.0,3,0.0,1,11,0,0
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,5.0,16.0,3,0.5773502691896258,1,11,0,0
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,10.0,23.0,3,0.5773502691896258,1,11,0,0
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,0.0,21.0,3,0.0,1,11,0,0
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,3.0,19.0,3,0.5773502691896258,1,11,0,0
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,2.0,19.0,3,0.5773502691896258,1,11,0,0
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,18.0,3,0.0,1,11,0,0
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,8.0,13.0,3,0.5773502691896258,1,11,0,0
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,10.0,24.0,3,0.0,1,11,0,0
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,4.0,15.0,3,0.0,1,11,0,0
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,8.0,21.0,3,0.0,1,11,0,1
