season,week,celebrity_name,judge_rank,audience_share_rank,judge_share,audience_share,rank_diff,rank_direction,survival_prob
29,2,Skai Jackson,14.0,1.0,0.05494505494503482,0.09909634225007863,13.0,13.0,0.9014021738812216
16,2,Dorothy Hamill,12.0,1.0,0.061475409836040384,0.1394631087372019,11.0,11.0,0.8667830449821539
20,2,Chris Soules,12.0,1.0,0.060518731988455185,0.11181731530287911,11.0,11.0,0.8463520741732264
9,1,Ashley Hamiliton,15.0,6.0,0.04679796767670839,0.06898351318340507,9.0,9.0,0.8528806997134706
9,1,Chuck Liddell,10.0,1.0,0.05418740566463952,0.10462744966739997,9.0,9.0,0.9803746166167506
9,1,Debi Mazar,10.0,1.0,0.05418740566463952,0.10462744966739997,9.0,9.0,0.9803746166167506
9,1,Kathy Ireland,12.0,3.0,0.049261031570555634,0.09711723328553364,9.0,9.0,0.9276155653019336
9,1,Macy Gray,15.0,6.0,0.04679796767670839,0.06898351318340507,9.0,9.0,0.8528806997134706
9,1,Tom DeLay,12.0,3.0,0.049261031570555634,0.09711723328553364,9.0,9.0,0.9276155653019336
29,2,Monica Aldama,12.0,3.0,0.058608058608037146,0.07919649615309116,9.0,9.0,0.882505121221003
29,3,Justina Machado,10.0,1.0,0.06761565836296526,0.1419480796808761,9.0,9.0,0.9813577870944223
30,1,Martin Kove,15.0,6.0,0.035519125683050407,0.06500440272247714,9.0,9.0,0.7165497149346454
30,2,Kenya Moore,10.0,1.0,0.06233766233764615,0.10736379958072707,9.0,9.0,0.9459117696609407
31,1,Cheryl Ladd,10.0,1.0,0.05497382198951441,0.09196171526944195,9.0,9.0,0.9034961307248262
31,1,Trevor Donovan,10.0,1.0,0.05497382198951441,0.09196171526944195,9.0,9.0,0.9034961307248262
31,3,Trevor Donovan,10.0,1.0,0.06699751861040522,0.10843764096975567,9.0,9.0,0.9193716350901389
8,3,Denise Richards,10.0,2.0,0.06299212598422717,0.14194843162168272,8.0,8.0,0.8339821961086931
8,3,Holly Madison,9.0,1.0,0.06692913385824137,0.14926118461010093,8.0,8.0,0.8604522980034148
14,2,Gladys Knight,11.0,3.0,0.0706319702601968,0.11674986939048927,8.0,8.0,0.8960716628014764
17,2,"Nicole ""Snooki"" Polizzi",9.0,1.0,0.07518796992478377,0.14271694660782447,8.0,8.0,0.9558301276768149
21,1,Gary Busey,9.0,1.0,0.059999999999976,0.1489537887674435,8.0,8.0,0.8631192005136417
21,1,Paula Deen,9.0,1.0,0.059999999999976,0.1489537887674435,8.0,8.0,0.8631192005136417
21,1,Victor Espinoza,9.0,1.0,0.059999999999976,0.1489537887674435,8.0,8.0,0.8631192005136417
2,2,Tatum O'Neal,8.0,1.0,0.0849999999999575,0.2251908824067253,7.0,7.0,0.8755698089743502
3,1,Tucker Carlson,11.0,4.0,0.05660377358487896,0.11263768552534101,7.0,7.0,0.7666546818530774
8,4,Lawrence Taylor,8.0,1.0,0.07851239669418243,0.14075226498174737,7.0,7.0,0.8954970123479331
9,4,Aaron Carter,8.0,1.0,0.07438016528922546,0.152281189791746,7.0,7.0,0.8571500582691257
11,2,Michael Bolton,11.0,4.0,0.05429864253391208,0.11722097799293545,7.0,7.0,0.7522236745055881
22,2,Antonio Brown,9.0,2.0,0.08050847457623708,0.11963801112513703,7.0,7.0,0.9599557708753874
27,2,Bobby Bones,10.0,3.0,0.07208872458407686,0.09909929720835492,7.0,7.0,0.8784440719793831
29,3,Anne Heche,13.0,6.0,0.05338078291813047,0.08539455318011714,7.0,7.0,0.8210653638688983
31,4,Daniel Durant,9.0,2.0,0.07073170731705593,0.12053770374027671,7.0,7.0,0.9188429229615964
32,2,Adrian Peterson,10.0,3.0,0.06302521008400713,0.11451181081919738,7.0,7.0,0.8502441609079077
32,2,Mauricio Umansky,13.0,6.0,0.05042016806720571,0.0896441133838239,7.0,7.0,0.7566488926024446
33,3,Dwight Howard ,9.0,2.0,0.08176100628928247,0.1223019600446037,7.0,7.0,0.8809235752808432
34,3,Jen Affleck,10.0,3.0,0.0739299610894654,0.1001225721938983,7.0,7.0,0.8897217579419504
34,4,Robert Irwin,8.0,1.0,0.08870967741931907,0.12479706425045778,7.0,7.0,0.9653162027903216
2,1,Lisa Rinna,7.0,1.0,0.09743589743584748,0.22579649388494663,6.0,6.0,0.934339712789119
3,1,Shanna Moakler,7.0,1.0,0.08490566037731845,0.14319301281830438,6.0,6.0,0.9374366988091927
3,2,Mario Lopez,7.0,1.0,0.09130434782604727,0.20572278963919025,6.0,6.0,0.9686191102643548
4,2,Shandi Finnessey,10.0,4.0,0.08163265306119118,0.10480997197665308,6.0,6.0,0.8902628776539081
6,2,Cristian de la Fuente,8.0,2.0,0.07782101167312147,0.14922741325006336,6.0,6.0,0.937742117722195
6,2,Steve Guttenberg,11.0,5.0,0.06225680933849718,0.10222989092355458,6.0,6.0,0.8188370332372075
7,2,Lance Bass,7.0,1.0,0.09049773755652014,0.13145722665514425,6.0,6.0,0.9372732261255355
8,1,Belinda Carlisle,9.0,3.0,0.06995884773659673,0.11383313382299615,6.0,6.0,0.8885148276093664
8,1,Steve-O,9.0,3.0,0.06995884773659673,0.11383313382299615,6.0,6.0,0.8885148276093664
8,2,David Alan Grier,11.0,5.0,0.06415094339620221,0.10495549676965492,6.0,6.0,0.8837211385469577
8,2,Steve-O,13.0,7.0,0.05283018867922535,0.09112470871964808,6.0,6.0,0.8004357545710077
9,1,Michael Irvin,14.0,8.0,0.04679821398309777,0.06765886666276201,6.0,6.0,0.8502550851867867
9,2,Kelly Osbourne,9.0,3.0,0.06462585034011407,0.10502378062465399,6.0,6.0,0.9169844357179637
9,5,Melissa Joan Hart,7.0,1.0,0.09504132231401032,0.13305118047298456,6.0,6.0,0.9197378182735083
11,1,Michael Bolton,9.0,3.0,0.0704845814977663,0.13462838707528296,6.0,6.0,0.86290504209888
