season,week,celebrity_name,judge_rank,audience_rank,rank_diff_rank,rank_direction_rank,survival_prob
29,2,Skai Jackson,14.0,5.0,9.0,9.0,0.9014021738812216
29,3,Justina Machado,10.0,1.0,9.0,9.0,0.9813577870944223
9,1,Melissa Joan Hart,9.0,1.0,8.0,8.0,0.999200271713095
34,4,Robert Irwin,8.0,1.0,7.0,7.0,0.9653162027903216
3,2,Mario Lopez,7.0,1.0,6.0,6.0,0.9686191102643548
14,2,Jaleel White,7.0,1.0,6.0,6.0,1.0
15,2,Emmitt Smith,7.0,1.0,6.0,6.0,0.9686798890975676
15,3,Emmitt Smith,8.0,2.0,6.0,6.0,0.9394656741243964
23,2,Marilu Henner,7.0,1.0,6.0,6.0,0.9798616701066011
31,1,Jordin Sparks,7.0,1.0,6.0,6.0,0.9956261452767576
6,2,Priscilla Presley,6.0,1.0,5.0,5.0,0.996429701467156
9,1,Louie Vito,7.0,2.0,5.0,5.0,1.0
9,1,Natalie Coughlin,7.0,2.0,5.0,5.0,1.0
9,5,Melissa Joan Hart,7.0,2.0,5.0,5.0,0.9197378182735083
14,6,Maria Menounos,6.0,1.0,5.0,5.0,0.9886540654384184
15,8,Shawn Johnson,6.0,1.0,5.0,5.0,0.8363697900458401
17,1,Brant Daugherty,6.0,1.0,5.0,5.0,0.9983397846280295
17,1,Christina Milian,6.0,1.0,5.0,5.0,0.9983397846280295
17,6,Corbin Bleu,6.0,1.0,5.0,5.0,0.9365217418141707
18,1,Cody Simpson,6.0,1.0,5.0,5.0,0.9883052237968968
19,1,Jonathan Bennett,6.0,1.0,5.0,5.0,1.0
19,3,Lea Thompson,7.0,2.0,5.0,5.0,0.9632480649379347
21,7,Nick Carter,6.0,1.0,5.0,5.0,0.8498623651099058
22,2,Antonio Brown,9.0,4.0,5.0,5.0,0.9599557708753874
27,2,DeMarcus Ware,6.0,1.0,5.0,5.0,1.0
28,2,Lauren Alaina,6.0,1.0,5.0,5.0,0.9828096821943448
28,6,Ally Brooke,6.0,1.0,5.0,5.0,0.9360751967529682
28,6,Hannah Brown,8.0,3.0,5.0,5.0,0.8202889697750411
29,7,Kaitlyn Bristowe,9.0,4.0,5.0,5.0,0.8847992900730185
31,7,Gabby Windey,6.0,1.0,5.0,5.0,0.9085090793639632
34,6,Alix Earle,6.0,1.0,5.0,5.0,0.93850103242575
3,5,Joey Lawrence,5.0,1.0,4.0,4.0,0.8789003135948134
4,2,Shandi Finnessey,10.0,6.0,4.0,4.0,0.8902628776539081
5,3,Helio Castroneves,6.0,2.0,4.0,4.0,0.9708958353277316
7,1,Misty May-Treanor,5.0,1.0,4.0,4.0,0.9978242940529138
8,3,Ty Murray,6.0,2.0,4.0,4.0,0.9800042419380007
8,7,Lil' Kim,5.0,1.0,4.0,4.0,0.9078513483477095
9,7,Mya,5.0,1.0,4.0,4.0,0.8524449406281267
11,3,Kyle Massey,5.0,1.0,4.0,4.0,0.9703253677466965
11,5,Audrina Patridge,5.0,1.0,4.0,4.0,0.9280309084372831
11,6,Jennifer Grey,5.0,1.0,4.0,4.0,0.9757136096019253
14,2,Sherri Sheperd,6.0,2.0,4.0,4.0,0.9859318313330567
14,3,Roshon Fegan,5.0,1.0,4.0,4.0,0.9840732939275314
14,8,Maria Menounos,5.0,1.0,4.0,4.0,0.811302924588119
15,4,Sabrina Bryan,6.0,2.0,4.0,4.0,0.9136114920333053
15,5,Emmitt Smith,6.0,2.0,4.0,4.0,0.8961397315550291
16,1,Ingo Rademacher,5.0,1.0,4.0,4.0,0.9872314188266429
16,1,Jacoby Jones,5.0,1.0,4.0,4.0,0.9872314188266429
16,2,Dorothy Hamill,12.0,8.0,4.0,4.0,0.8667830449821539
17,5,Elizabeth Berkley Lauren,6.0,2.0,4.0,4.0,0.9455497447615535
18,6,James Maslow,5.0,1.0,4.0,4.0,0.9242284513868764
18,7,Charlie White,5.0,1.0,4.0,4.0,0.8676123501467892
18,7,James Maslow,6.0,2.0,4.0,4.0,0.8351576155503373
19,2,Sadie Robertson,5.0,1.0,4.0,4.0,0.9884098857737293
21,1,Alek Skarlatos,5.0,1.0,4.0,4.0,1.0
21,1,Alexa PenaVega,5.0,1.0,4.0,4.0,1.0
21,4,Carlos PenaVega,5.0,1.0,4.0,4.0,0.975555008750838
22,2,Nyle DiMarco,5.0,1.0,4.0,4.0,1.0
22,4,Nyle DiMarco,5.0,1.0,4.0,4.0,0.9601371764429552
22,7,Jodie Sweetin,8.0,4.0,4.0,4.0,0.7983683635417265
23,4,Calvin Johnson Jr.,6.0,2.0,4.0,4.0,0.97740426447957
23,10,Calvin Johnson Jr.,5.0,1.0,4.0,4.0,0.7671724716727886
24,4,Normani,5.0,1.0,4.0,4.0,0.9789632101674128
27,3,DeMarcus Ware,5.0,1.0,4.0,4.0,1.0
27,4,Evanna Lynch,5.0,1.0,4.0,4.0,0.9983983355316087
28,7,Kate Flannery,7.0,3.0,4.0,4.0,0.8153627992123975
28,7,Kel Mitchell,5.0,1.0,4.0,4.0,0.8913028201630944
29,1,Monica Aldama,5.0,1.0,4.0,4.0,0.9951261636416955
29,2,Monica Aldama,12.0,8.0,4.0,4.0,0.882505121221003
29,6,Nev Schulman,5.0,1.0,4.0,4.0,0.9848267763482289
29,8,AJ McLean,5.0,1.0,4.0,4.0,0.8791631189324133
30,1,Kenya Moore,5.0,1.0,4.0,4.0,1.0
30,1,Melora Hardin,5.0,1.0,4.0,4.0,1.0
30,2,Jimmie Allen,5.0,1.0,4.0,4.0,1.0
30,2,Melora Hardin,5.0,1.0,4.0,4.0,1.0
30,2,Olivia Jade,5.0,1.0,4.0,4.0,1.0
30,8,Olivia Jade,6.0,2.0,4.0,4.0,0.8710922498768636
31,1,Daniel Durant,6.0,2.0,4.0,4.0,1.0
31,2,Selma Blair,6.0,2.0,4.0,4.0,0.9789795055505716
31,2,Shangela,6.0,2.0,4.0,4.0,0.9789795055505716
31,3,Trevor Donovan,10.0,6.0,4.0,4.0,0.9193716350901389
31,5,Heidi D'Amelio,5.0,1.0,4.0,4.0,0.9939595941782982
